Date,Ticker,target,Log_Returns,Close_raw,PC1,PC2,PC3,PC4,PC5,PC6,PC7
2018-08-06,AMZN,1,-0.0014173949939757,90.9459991455078,6.392116,0.7514589,1.6347681,1.8657488,0.5573443,-0.0644639,-0.44175744
2018-08-07,AMZN,0,0.0149244726590298,92.3134994506836,6.449762,0.68828917,1.6747258,1.0983908,0.49374142,-0.077455,-0.36630282
2018-08-08,AMZN,1,0.0044477198681964,92.7249984741211,6.499182,1.7836082,1.2297864,0.8909528,0.3511123,0.80163807,1.1245806
2018-08-09,AMZN,0,0.0123153564961198,93.8740005493164,6.539146,1.821293,1.3460633,0.56723,-0.17050417,0.50848824,0.11782
2018-08-10,AMZN,1,0.0003887330836505,93.9104995727539,6.604425,2.5056522,0.93813765,0.58366245,0.1393963,0.66592014,0.86909395
2018-08-13,AMZN,0,0.0081975772939145,94.68350219726562,6.6095376,2.4662442,1.1606975,0.47359827,0.21587674,0.435133,-0.28962326
2018-08-14,AMZN,0,0.0033371178071618,95.0,6.7205434,2.9943004,0.8137062,0.4134732,0.17856929,0.58583325,0.5059441
2018-08-15,AMZN,1,-0.0160277401858139,93.489501953125,6.611778,2.5970278,1.2929718,-0.08009881,-0.032045167,0.6821176,-0.32127684
2018-08-16,AMZN,0,0.0073321254513405,94.17749786376952,6.720917,2.4104645,1.1407167,-1.014351,0.63817656,0.20965517,0.09941178
2018-08-17,AMZN,0,-0.014977162839846,92.77749633789062,6.697381,2.2292974,1.2441518,-0.30874607,0.0463317,0.122831024,-0.31569237
2018-08-20,AMZN,0,0.0056481626966689,93.3030014038086,6.7429075,1.476021,1.4866219,-1.4347296,-0.5270998,-0.21748748,-0.22858949
2018-08-21,AMZN,0,0.004464641334429,93.72049713134766,6.748824,1.9363122,1.2891234,-0.3361227,-0.021268966,-0.017968357,-0.076926015
2018-08-22,AMZN,1,0.0011890389675568,93.83200073242188,6.760124,1.0820233,1.6710106,0.2510008,-0.70672804,-0.3792122,-0.8761511
2018-08-23,AMZN,0,0.0127708757901996,95.03800201416016,6.7807517,1.7155209,1.418943,0.03247914,-0.021164423,0.19525641,0.18901385
2018-08-24,AMZN,0,0.0009359965637842,95.1269989013672,6.825921,1.5986006,1.3823355,1.1928757,-0.0013119142,-0.19145267,-0.44829506
2018-08-27,AMZN,1,0.0035363510815114,95.46399688720705,6.838047,1.8567963,1.3636949,0.3434909,-0.047505282,0.22330703,0.16475081
2018-08-28,AMZN,1,0.0101822615594179,96.44100189208984,6.9090915,2.378247,1.091012,0.59148145,0.4066352,0.19268227,0.24644761
2018-08-29,AMZN,1,0.0103771840360857,97.4469985961914,6.922737,2.7058847,1.2553121,0.78786093,-0.18508221,0.6291866,-0.20998122
2018-08-30,AMZN,1,0.0192900268366913,99.34500122070312,6.995346,3.3326108,1.0483408,0.5682971,-0.26307467,0.9200485,0.15276933
2018-08-31,AMZN,0,0.0089387242037356,100.23699951171876,7.1385894,3.6691585,0.70718163,1.2295219,-0.08875897,0.4445558,-0.057086535
2018-09-04,AMZN,0,0.0041117901497455,100.6500015258789,7.1872487,3.9490833,0.73988044,0.7875717,0.18127282,0.6102738,-0.15273438
2018-09-05,AMZN,0,-0.0115468089660893,99.49449920654295,7.1416936,3.9960122,0.8985546,0.16978416,0.67376906,0.89791095,-0.039299294
2018-09-06,AMZN,0,-0.0278635253120755,96.760498046875,7.100232,3.046952,1.326623,-1.2334414,0.7051929,0.53063583,-0.29148403
2018-09-07,AMZN,0,0.0011052355042019,96.86750030517578,7.1196923,2.5367992,1.4178257,-2.441622,0.7839999,0.15387113,-0.02526723
2018-09-10,AMZN,0,-0.0030138426141668,96.57599639892578,7.1227794,2.122834,1.5773039,-1.4841617,-0.65502805,0.03907555,-0.38930693
2018-09-11,AMZN,1,-0.0075457722857107,95.8499984741211,7.105581,1.2040753,2.0342593,-1.6561825,-1.4663558,-0.07819092,-0.731685
2018-09-12,AMZN,1,0.0234271656094864,98.12200164794922,7.1624827,1.1243737,1.9802295,-0.54720306,0.039018497,-0.26241976,-0.84033257
2018-09-13,AMZN,0,0.0099329730469783,99.10150146484376,7.208051,0.99436927,1.9088072,1.6028852,-0.52516603,-0.30529773,-0.9982185
2018-09-14,AMZN,0,-0.0115751669018806,97.96099853515624,7.18199,0.84759814,1.9649798,0.5512605,-0.67732704,0.10219035,0.04585259
2018-09-17,AMZN,1,-0.0373409152423778,94.37049865722656,6.986876,0.53922373,2.338348,-0.22583094,1.4303613,0.3406365,-0.13062485
2018-09-18,AMZN,0,0.0147418897368736,95.77200317382812,7.0489235,-0.002960667,2.4036496,-1.1741102,1.6515598,-0.29923084,-0.4139132
2018-09-19,AMZN,1,-0.0055178517936056,95.24500274658205,7.0355206,0.5262961,2.1216712,-0.58355826,-0.9736444,0.4526099,0.7881342
2018-09-20,AMZN,0,0.0142556159929153,96.6125030517578,7.0823917,-0.018516518,2.3155758,-1.1415808,-1.7570524,-0.1515951,-0.05762523
2018-09-21,AMZN,0,-0.0113201547140256,95.5250015258789,6.9573374,0.28405416,2.410374,0.716859,0.26376668,0.3256649,-0.36537015
2018-09-24,AMZN,1,-0.0241039507826465,93.25,6.9545164,-1.0759269,2.825897,0.3647842,0.48680198,-0.64394283,-1.390995
2018-09-25,AMZN,1,0.0388339323766232,96.94249725341795,7.0318594,-0.11964107,2.3986273,-0.7969944,1.118666,0.3248913,0.7107949
2018-09-26,AMZN,1,0.0116246607042635,98.07599639892578,7.079134,0.26004228,2.1930795,1.6696086,-1.2985228,0.34010115,0.063152395
2018-09-27,AMZN,0,0.0137011786038265,99.4290008544922,7.1457496,0.39545742,2.1656997,0.33686507,-1.5722044,0.481925,0.5009355
2018-09-28,AMZN,0,0.0039547679127032,99.822998046875,7.1893673,1.0658168,1.813637,1.7878233,1.3723228,0.27836072,0.20698959
2018-10-01,AMZN,0,0.0035699728544038,100.18000030517578,7.2475724,0.77460927,1.9211606,1.5760156,0.7918151,-0.16993906,-0.52857494
2018-10-02,AMZN,0,-0.0190615605894227,98.28849792480467,7.170126,1.4834263,1.7622787,-0.24935272,0.28371093,1.1101495,1.649596
2018-10-03,AMZN,0,-0.0081520586277025,97.4905014038086,7.1460633,0.9420894,2.0536933,-0.9917378,0.6477518,0.33138356,0.251986
2018-10-04,AMZN,0,-0.027684966996378,94.82849884033205,7.0159063,0.7423007,2.2699263,-1.1109385,0.3832838,0.57287776,0.22995871
2018-10-05,AMZN,0,-0.0179501169926975,93.1415023803711,6.9355187,-0.24861507,2.7088628,-2.0525804,-0.1141084,0.0794589,-0.4829685
2018-10-08,AMZN,1,-0.0174203361111006,91.53299713134766,6.8281074,-0.54656214,2.8380778,-1.7372707,0.046617925,0.198591,-0.3320308
2018-10-09,AMZN,0,0.0117623522484072,92.61599731445312,6.8370304,-1.3763072,3.0165215,-1.0939999,-0.61450016,-0.4975829,-1.1255716
2018-10-10,AMZN,0,-0.0543062931211971,87.72049713134766,6.51518,-1.5335672,3.3605437,-0.21263783,-0.9574956,0.53484195,-0.5902303
2018-10-11,AMZN,1,-0.0403077087315942,84.25499725341797,6.223608,-2.7836947,4.022317,-1.8877313,0.89845955,-0.029840522,-1.693121
2018-10-12,AMZN,0,0.0335132378473891,87.12650299072266,6.3213253,-2.3816895,3.5573707,-0.9326327,1.7475542,0.106488995,-0.6769338
2018-10-15,AMZN,1,-0.0047745796870393,86.71150207519531,6.2741427,-2.5989919,3.4350274,0.9361184,-2.7426205,0.15585032,-0.7003401
2018-10-16,AMZN,1,0.0156305615795716,88.07749938964844,6.2923446,-2.3715382,3.2723978,-0.5939841,-1.7039633,0.4434035,0.38028848
2018-10-17,AMZN,0,0.0254738983557238,90.3499984741211,6.336524,-1.8504244,2.9497414,2.705239,1.5517598,-0.267763,-1.1815187
2018-10-18,AMZN,0,-0.0218925481209237,88.39350128173828,6.230291,-1.9902542,3.0262551,2.4053903,-0.2372031,0.007076273,-0.9511582
2018-10-19,AMZN,0,-0.0084468232527654,87.6500015258789,6.1873035,-1.374335,2.733422,-0.66898894,1.030587,1.0088692,1.7647477
2018-10-22,AMZN,0,0.0017099066231161,87.80000305175781,6.2323365,-1.3162291,2.6162717,0.4905986,1.5428995,0.27361825,0.46694952
2018-10-23,AMZN,0,-0.0242087454051746,85.69999694824219,6.087365,-1.5080657,2.8750658,-0.4402104,-0.8506948,0.73373926,0.6349172
2018-10-24,AMZN,1,-0.0340865861454415,82.8280029296875,5.953385,-1.6746491,2.951868,-1.6846998,0.10200766,0.7216259,0.9106925
2018-10-25,AMZN,0,0.02117399671958,84.60050201416016,5.924967,-1.9496465,3.2789307,-0.8214796,1.1976314,0.1964025,-1.0086157
2018-10-26,AMZN,0,-0.0540403024747436,80.1500015258789,5.610066,-2.0247238,3.4452121,0.38649365,-1.2517481,1.0279598,-0.52076626
2018-10-29,AMZN,0,-0.0697506858225564,74.75,5.3852797,-2.9527528,3.8058646,-2.527949,-0.026925338,0.5496036,-0.62160033
2018-10-30,AMZN,1,-0.0125465972158803,73.81800079345703,5.166693,-3.0950089,3.7262435,-1.8382459,2.944346,0.08374131,-1.0341712
2018-10-31,AMZN,1,0.0583637378581037,78.25450134277344,5.2539597,-3.339271,3.666895,-0.3000985,-1.4122126,-0.106955715,-1.7041813
2018-11-01,AMZN,1,0.0210847694823483,79.9219970703125,5.3229256,-2.2369616,3.0325136,0.97336894,-4.4035573,1.2648766,0.7503211
2018-11-02,AMZN,0,0.0328556391384112,82.59149932861328,5.369825,-2.4262314,3.0457802,2.4340808,-0.6119035,-0.11235528,-1.6771921
2018-11-05,AMZN,1,-0.0341577086631268,79.81800079345703,5.310226,-1.8461027,2.6176615,4.091773,2.376432,-0.15994255,-1.3483611
2018-11-06,AMZN,1,0.0113302439754598,80.72750091552734,5.334644,-1.9443855,2.5820394,0.3513415,2.0967124,0.097136416,0.1816287
2018-11-07,AMZN,1,0.0302161553573234,83.2040023803711,5.42727,-0.32152188,2.0961854,0.29603592,0.826233,2.1247375,2.9782567
2018-11-08,AMZN,0,0.0360183789897912,86.25550079345703,5.5580897,-0.37983292,2.129494,0.80351347,-2.1739998,1.1875045,0.8644958
2018-11-09,AMZN,0,-0.0135632000604874,85.09349822998047,5.561053,0.30595338,1.7574282,1.2260481,-0.6712944,1.4963813,1.8120475
2018-11-12,AMZN,0,-0.0431414324996209,81.50050354003906,5.4536777,-0.4586472,2.2162268,0.94553477,2.0053556,0.08620227,-0.9760058
2018-11-13,AMZN,0,-0.0100255300262568,80.6875,5.440819,-0.35774788,2.1063282,-1.0712116,2.6521816,0.55839604,0.7057224
2018-11-14,AMZN,0,-0.0103899581350596,79.85350036621094,5.3874216,-0.39110988,2.167088,-1.2858276,-0.3606308,0.92756855,0.99610025
2018-11-15,AMZN,1,-0.0321699193929213,77.32550048828125,5.260941,-0.7813052,2.470781,-2.0677912,-1.7684356,1.0344591,0.7435143
2018-11-16,AMZN,0,0.0170601003613894,78.65599822998047,5.2505994,-1.1943365,2.5084112,-1.2658403,0.4385488,-0.08661687,-0.84082425
2018-11-19,AMZN,0,-0.0453582927075664,75.16799926757812,5.055503,-1.5731674,2.7243936,1.0238075,-0.37087736,-0.0968428,-1.6819782
2018-11-20,AMZN,1,-0.0570457216913879,71.0,4.800432,-2.3290246,3.2041922,-1.9992903,-0.041079976,0.21686566,-1.052552
2018-11-21,AMZN,0,0.0647585673481631,75.75,4.935893,-1.9041622,2.6674874,-1.4393181,2.206184,-0.08035053,-0.34678867
2018-11-23,AMZN,1,-0.0087443932492423,75.09049987792969,4.9451118,-1.9386568,2.3574011,2.4295902,-3.0270333,-0.27494392,-0.8641086
2018-11-26,AMZN,1,0.0148117388683854,76.21099853515625,4.8916864,-1.9027091,2.6682441,-0.9882352,-2.2998357,0.61376697,0.25372195
2018-11-27,AMZN,1,0.0219265484256576,77.90049743652344,4.9392147,-1.1322114,2.214413,2.7732549,2.7536237,0.13269852,-0.6691203
2018-11-28,AMZN,1,0.0273564683286164,80.06099700927734,5.0259,-1.3507284,2.5407577,2.5426326,-0.16573967,0.054354616,-1.9738598
2018-11-29,AMZN,1,0.0314206220272148,82.61650085449219,5.1596346,0.26279423,1.6471874,0.6468281,-0.5274617,2.160945,3.1026495
2018-11-30,AMZN,1,0.0085391587789356,83.32499694824219,5.259691,0.26540107,1.6637219,2.2920003,0.31765798,0.8275555,0.28976148
2018-12-03,AMZN,0,0.0373958263687871,86.5,5.4409366,0.8784968,1.507692,1.19906,0.9053518,1.2669462,1.0221893
2018-12-04,AMZN,0,-0.0382962850772804,83.25,5.3707986,1.2571021,1.4478106,1.694675,0.39766803,1.6890641,1.3488783
2018-12-06,AMZN,1,-0.0336841126869221,80.49250030517578,5.3281517,0.600732,1.8384413,-1.6433634,1.2204657,1.078814,0.7459583
2018-12-07,AMZN,0,0.0096498741931209,81.27300262451172,5.364445,0.9454306,1.6167521,-1.4829279,2.2333431,1.1143883,1.2053478
2018-12-10,AMZN,1,-0.0215098132413365,79.54350280761719,5.302015,0.2742161,1.9637623,-0.7475388,-1.7642503,0.6543147,-0.2821134
2018-12-11,AMZN,1,0.0178981749324588,80.9800033569336,5.3612075,0.25626415,1.8993055,-2.2519825,-1.2991722,0.8338352,0.7473494
2018-12-12,AMZN,0,0.0248009497355764,83.01349639892578,5.397601,0.24489367,1.9127101,1.4165853,0.24224128,0.025560327,-1.444039
2018-12-13,AMZN,0,-0.0113697755883454,82.07499694824219,5.415887,-0.15156755,1.9917512,1.4212524,-1.1696458,-0.067614205,-1.3853836
2018-12-14,AMZN,0,-0.0350260134477154,79.25,5.2796597,-0.011975481,1.9617933,-0.28482056,0.9698901,0.67282414,0.47683185
2018-12-17,AMZN,1,-0.0517848175888123,75.25050354003906,5.0580487,-0.6835383,2.4113662,-0.6566138,2.2587514,0.14783439,-0.92030454
2018-12-18,AMZN,0,0.0118890164759253,76.15049743652344,5.0617023,-0.8861036,2.375834,-2.5464406,0.79194087,0.3549371,0.21051933
2018-12-19,AMZN,0,-0.0265002209256998,74.15899658203125,4.9218087,-0.84517425,2.4528966,-1.0875732,-1.8696681,0.99146384,0.4747099
2018-12-20,AMZN,0,-0.0346346088229457,71.6344985961914,4.7430544,-1.8637611,2.9878404,-1.8672706,-1.4059453,0.104361825,-1.3666524
2018-12-21,AMZN,0,-0.0491615716286754,68.197998046875,4.491049,-2.152034,3.1950145,-0.8005945,1.6931993,0.14301029,-1.6696188
2018-12-24,AMZN,1,-0.0426577935462841,65.3499984741211,4.3592205,-3.2064939,3.3214905,-1.3051506,0.6930831,-0.9128482,-2.4750562
2018-12-26,AMZN,1,0.0419610405369484,68.15049743652344,4.365866,-2.7079785,3.208109,-2.238222,-0.41488293,0.5969469,-0.1202318
2018-12-27,AMZN,1,0.0198313341743946,69.5155029296875,4.34278,-2.5333586,3.0435996,1.3780986,-2.7234638,0.46029872,-1.1966268
2018-12-28,AMZN,1,0.0413468352121883,72.44999694824219,4.3735733,-2.4676163,2.9556878,1.3506008,-1.9195348,0.22147194,-1.4648248
