,Transformed_Open,Transformed_High,Transformed_Low,Transformed_Close,Transformed_Adj Close,Transformed_Volume,SMA_5,TEMA_12,TEMA_26,RSI_7,RSI_14,BB_Mid_10,BB_Upper_10_1.5Std,BB_Upper_10_2Std,BB_Mid_20,BB_Upper_20_1.5Std,BB_Upper_20_2Std,OBV,RSI_7_lag_1,RSI_14_lag_1,OBV_lag_1,Log_Returns_lag_1,RSI_7_lag_3,RSI_14_lag_3,OBV_lag_3,Log_Returns_lag_3,RSI_7_lag_5,RSI_14_lag_5,OBV_lag_5,Log_Returns_lag_5
Transformed_Open,1.0,0.9985384489366241,0.9985554415518799,0.9984513953410652,0.998470479569485,-0.5901512387517556,0.8645890393001266,0.8646495817119348,0.8645159903682067,0.008754414245730766,0.002842419948716815,0.8643433283353715,0.8640646403615201,0.863851084644501,0.8638386235852197,0.8634994784121408,0.8632311864501051,0.06951886343656823,0.008901599413850976,0.003074150212330774,0.06995912810978494,0.0036971113132635743,0.00898695536458451,0.003384992762806264,0.0708163418492621,0.0034851911047739837,0.009529824932124035,0.003979630642951427,0.07164140878668314,0.0031498954050361763
Transformed_High,0.9985384489366241,1.0,0.9999650526089506,0.9999656503615377,0.999928424430852,-0.5853787470398922,0.8634314669015277,0.8634868236170942,0.8633527949752627,0.008233939276347614,0.0021706366586210072,0.8631919620375668,0.8627654369647529,0.862504612556371,0.8627027228743508,0.8621549542989102,0.861820871955461,0.06384774483478263,0.008358775981139125,0.0023834706620964774,0.06428632769358582,0.0032257820383067744,0.008390416525865498,0.0026498038133928852,0.06514035603682149,0.002970745765058125,0.008897006203072102,0.0032165112856297595,0.0659637212100805,0.002614790166815834
Transformed_Low,0.9985554415518799,0.9999650526089506,1.0,0.9999447988465571,0.9999670884071853,-0.584541259386115,0.8633704450762802,0.8634045782148722,0.8632857735733531,0.00616647605562911,0.0003975765312867997,0.8631502490772038,0.8627706918384577,0.8625249432151612,0.862677793369351,0.8621783220016188,0.8618595240682616,0.06395157081328298,0.0074211046846665565,0.0014100328486197906,0.06440708969326008,0.0027383866993778453,0.0077061666256436415,0.0018827570523767727,0.06526968597392692,0.002786014526342663,0.008365487225772045,0.0025653287143038972,0.06609928974736497,0.0024941680119010385
Transformed_Close,0.9984513953410652,0.9999656503615377,0.9999447988465571,1.0,0.9999582758010783,-0.586194549279496,0.86356704258308,0.8636387091155252,0.8634872258273449,0.009029850510640555,0.0030675978262358506,0.8633037400001236,0.8628262869197713,0.8625491060279666,0.8627903374573807,0.8621923722467316,0.8618423928893924,0.06366490911673625,0.00940565914524651,0.003410847053689718,0.06410589841066029,0.003935240076917406,0.009129349584832277,0.003422867794813528,0.06495305346130538,0.0032958301213692185,0.009517879108971295,0.00387423394122266,0.06577325602420746,0.002789767481159182
Transformed_Adj Close,0.998470479569485,0.999928424430852,0.9999670884071853,0.9999582758010783,1.0,-0.5851860329304629,0.8635023367674937,0.8635447516961692,0.8634178467146381,0.006250314893250417,0.0007773311072629572,0.8632659132402546,0.8628404916523056,0.8625800106799786,0.8627727832231737,0.862226781948377,0.8618932456675569,0.06380710431844575,0.008258038775431215,0.0022765398136627827,0.06427115195518195,0.0031406422606820687,0.008376848096236683,0.002606807843175197,0.06512969576212936,0.0029873002007659846,0.008948813327033157,0.003208874997652182,0.06595755177934828,0.0025750542607310125
Transformed_Volume,-0.5901512387517556,-0.5853787470398922,-0.584541259386115,-0.586194549279496,-0.5851860329304629,1.0,-0.5532008164859739,-0.5537433996506577,-0.5531853550308814,-0.030372706906115557,-0.01239375795312808,-0.5524476623467893,-0.5488218273060435,-0.5475791224304609,-0.5516951047429698,-0.547963223373401,-0.5466797484579574,0.26598516557292484,-0.016751777431542315,-0.0017045865524334856,0.26576947078583396,-0.022360315833143834,-0.0038302158618402603,0.009874627682504914,0.2652479442005553,-0.005687794195595104,0.0020092096182365935,0.015395244957047515,0.26466952004298877,-0.0006948464791499293
SMA_5,0.8645890393001266,0.8634314669015277,0.8633704450762802,0.86356704258308,0.8635023367674937,-0.5532008164859739,1.0,0.9999124872734286,0.9998670728614919,0.019664639917340226,0.022708974206300386,0.9997777333954653,0.9993282915596106,0.9990404976660431,0.9991889412293027,0.9985997815379744,0.9982271668707879,-0.05516220388877983,0.02330340175041223,0.025536998594604732,-0.05485646604292541,-0.005227713226667576,0.027942579751179114,0.029001066993741303,-0.0542836841464078,0.000845085893327304,0.028573762686967635,0.029470347660278843,-0.053765582982512244,0.003463952616364101
TEMA_12,0.8646495817119348,0.8634868236170942,0.8634045782148722,0.8636387091155252,0.8635447516961692,-0.5537433996506577,0.9999124872734286,1.0,0.9997683957581471,0.026089524887801387,0.028444425829265603,0.9995063304094223,0.9989830761095393,0.9986716382072042,0.9986733123273107,0.9980534060708657,0.9976711602276177,-0.05509362671883618,0.029469970278384126,0.030892087824457997,-0.05479764306760425,-0.0012370967381733669,0.03213601334161994,0.032665825156070354,-0.05425219148199318,0.003426009565219069,0.032280044492371596,0.0325538326084149,-0.05374714660464833,0.004865040545587237
TEMA_26,0.8645159903682067,0.8633527949752627,0.8632857735733531,0.8634872258273449,0.8634178467146381,-0.5531853550308814,0.9998670728614919,0.9997683957581471,1.0,0.019066803538111757,0.0241177603580195,0.9998098326246273,0.999336851076118,0.9990414997731011,0.9991326244532985,0.9984828604841234,0.9980910829672743,-0.05506217347841036,0.022479162784079493,0.026943530426392165,-0.054757184656005875,-0.0053018190447539386,0.027358855119176812,0.03091088771644664,-0.05418052373345057,-0.0014420250521899973,0.030667908762361095,0.033469904304097804,-0.053644219871728044,0.0010166292008346443
RSI_7,0.008754414245730766,0.008233939276347614,0.00616647605562911,0.009029850510640555,0.006250314893250417,-0.030372706906115557,0.019664639917340226,0.026089524887801387,0.019066803538111757,1.0,0.9306836257145984,0.011375180819732707,0.009748468480247881,0.009224898409759695,0.003273775095196047,0.0028341100340998414,0.002694403269091995,0.06166654293594545,0.9158661393689919,0.8500601481571786,0.056532418059713194,0.35852330121780596,0.7416172497558892,0.6932014969180382,0.04624785308693312,0.2704425114813728,0.6057005537980662,0.5695314471120025,0.03671559245067961,0.20650349236725
