interval,source,Sharpe_mean,Sharpe_median,MDD_mean,MDD_median,AnnRet_mean,AnnRet_median,AnnVol_mean,AnnVol_median,n
10,GA+BO_knee,1.4649426604638907,1.3935121589315866,0.19450304981920485,0.1238760863846741,0.32385719621809994,0.1760364071723502,0.2056831288061198,0.1498800057318841,11
10,GA_knee,1.4429697749205541,1.3935121589315866,0.1668398087769554,0.1136046653307224,0.25807861333826376,0.1699524638167741,0.17360743409824586,0.1420016006039598,11
20,GA+BO_knee,1.5111850818017907,1.482687330295451,0.09623337161944567,0.0748762245444272,0.1306830798261558,0.1104315427976673,0.08590768487129645,0.0719749622143783,11
20,GA_knee,1.511407208972627,1.4826873302954509,0.09626171079383927,0.0748762245444272,0.13033326944688398,0.1104315427976673,0.08570409625800952,0.0719749622143783,11
42,GA+BO_knee,1.3333227678483033,1.2856771698864593,0.09343751298998265,0.0919140714947791,0.09807558671342825,0.1022296256859383,0.0743584215290871,0.0727507521935257,11
42,GA_knee,1.3333227678483033,1.2856771698864593,0.09343751298998265,0.0919140714947791,0.09807558671342825,0.1022296256859383,0.0743584215290871,0.0727507521935257,11
