feature,std,iqr,std_rank,iqr_rank,pca_loading,pca_rank,total_rank,fold
TEMA_12,1.0,1.5610621882751698,14.0,11.0,0.17842909306243207,1.0,8.666666666666666,train_scaled_fold_266.csv
SMA_5,1.0,1.5456024680220073,14.0,15.0,0.178092593851025,2.0,10.333333333333334,train_scaled_fold_266.csv
Close_lag_1,1.0,1.545672581006897,14.0,14.0,0.17777719749688775,4.0,10.666666666666666,train_scaled_fold_266.csv
Low,1.0,1.5551565980958066,14.0,12.0,0.177601472892229,8.0,11.333333333333334,train_scaled_fold_266.csv
TEMA_26,1.0000000000000002,1.5179296470104306,2.0,1.0,0.1862295223827411,3.0,2.0,train_scaled_fold_272.csv
BB_Mid_10,1.0,1.4419084051242348,15.5,4.0,0.18637025392376222,2.0,7.166666666666667,train_scaled_fold_272.csv
SMA_5,1.0,1.4014179473837542,15.5,10.0,0.18726822200161386,1.0,8.833333333333334,train_scaled_fold_272.csv
Close_lag_1,1.0,1.3586417109165503,15.5,14.0,0.185509062803283,5.0,11.5,train_scaled_fold_272.csv
Low,1.0,1.3525988269591123,15.5,17.0,0.185429185150117,6.0,12.833333333333334,train_scaled_fold_272.csv
TEMA_12,1.0,1.7243855203935488,13.5,17.0,0.18055968505598186,1.0,10.5,train_scaled_fold_514.csv
Open,1.0,1.7504491466086602,13.5,15.0,0.18025142364521843,8.0,12.166666666666666,train_scaled_fold_514.csv
High,1.0,1.7493219118674617,13.5,16.0,0.18025562735895284,7.0,12.166666666666666,train_scaled_fold_514.csv
BB_Lower_10_1.5Std,1.0,1.7746137043964867,13.5,14.0,0.1769907840488269,18.0,15.166666666666666,train_scaled_fold_514.csv
Close_lag_1,1.0,1.7091265305588343,13.5,22.0,0.18018721857472828,10.0,15.166666666666666,train_scaled_fold_514.csv
TEMA_26,1.0212531956409872,2.118781804525964,8.0,6.0,0.17591888274628986,3.0,5.666666666666667,val_scaled_fold_694.csv
BB_Upper_20_2Std,1.0026525795452772,2.200164436427397,11.0,5.0,0.1753878553056916,9.0,8.333333333333334,val_scaled_fold_694.csv
OBV_lag_5,1.5182397675372896,2.8169318017220406,1.0,1.0,0.17087806297729402,24.0,8.666666666666666,val_scaled_fold_694.csv
TEMA_12,0.9859216040481027,1.881792496797392,13.0,12.0,0.17739716148533982,1.0,8.666666666666666,val_scaled_fold_694.csv
OBV_lag_1,1.469251526495498,2.4807839253860093,3.0,3.0,0.17340313283219191,20.0,8.666666666666666,val_scaled_fold_694.csv
SMA_5,1.0,2.2189475315737677,15.5,12.0,0.18183898215255268,1.0,9.5,train_scaled_fold_528.csv
BB_Mid_10,1.0,2.2754391168689727,15.5,6.0,0.181679531315728,8.0,9.833333333333334,train_scaled_fold_528.csv
Close_lag_1,1.0,2.1876584159856263,15.5,13.0,0.18181106166219346,2.0,10.166666666666666,train_scaled_fold_528.csv
Close_lag_5,1.0,2.298751782239536,15.5,4.0,0.1815849281194834,15.0,11.5,train_scaled_fold_528.csv
Adj Close,1.0,2.161813495785882,15.5,16.0,0.1817449640425357,4.0,11.833333333333334,train_scaled_fold_528.csv
BB_Lower_10_2Std,0.7635360761295276,1.1201807867065576,14.0,5.0,0.19749802091984914,3.0,7.333333333333333,val_scaled_fold_643.csv
BB_Lower_10_1.5Std,0.6879107338483529,1.0738037932267792,17.0,6.0,0.19697407287536262,6.0,9.666666666666666,val_scaled_fold_643.csv
Close,0.7083992799442782,0.9677411534283995,15.0,13.0,0.19469043907962483,9.0,12.333333333333334,val_scaled_fold_643.csv
Log_Returns_lag_3,1.57098264807034,1.2670047629694143,3.0,2.0,0.08403824425693486,34.0,13.0,val_scaled_fold_643.csv
TEMA_12,0.6332171709819465,0.9433755648157007,22.0,17.0,0.20331371250734126,1.0,13.333333333333334,val_scaled_fold_643.csv
RSI_14_lag_5,1.2755118597056083,2.4904828054080212,1.0,1.0,0.16706405559468698,23.0,8.333333333333334,val_scaled_fold_125.csv
TEMA_26,0.5269473940445837,0.9965643835595628,13.0,9.0,0.1795538449506106,4.0,8.666666666666666,val_scaled_fold_125.csv
TEMA_12,0.4934708388700087,0.9428111476289373,14.0,11.0,0.1831015604355805,1.0,8.666666666666666,val_scaled_fold_125.csv
RSI_14_lag_3,1.186564770909013,2.368127435946091,4.0,2.0,0.16722475535564793,22.0,9.333333333333334,val_scaled_fold_125.csv
RSI_7_lag_5,1.2710084859803839,2.1067788115095465,2.0,4.0,0.15261567425184372,29.0,11.666666666666666,val_scaled_fold_125.csv
TEMA_26,0.42614564962633567,0.6245984874077466,20.0,15.0,0.18880229770525322,2.0,12.333333333333334,val_scaled_fold_131.csv
RSI_7_lag_5,0.7713630692847232,1.1833602724028274,2.0,1.0,0.07751140376492234,35.0,12.666666666666666,val_scaled_fold_131.csv
RSI_14_lag_5,0.6751404026790129,0.7894525011227402,7.0,6.0,0.12333524523763034,33.0,15.333333333333334,val_scaled_fold_131.csv
RSI_7_lag_3,0.7027976720485897,1.027267132236085,6.0,4.0,0.06630514022002375,36.0,15.333333333333334,val_scaled_fold_131.csv
RSI_7_lag_1,0.6123142979961735,1.070631485784229,9.0,2.0,0.06285510027968688,37.0,16.0,val_scaled_fold_131.csv
RSI_7_lag_5,0.9431154365669988,1.392928946293758,4.0,4.0,0.09843768487590183,30.0,12.666666666666666,val_scaled_fold_657.csv
RSI_14_lag_5,0.8080683790820823,1.3411660147756386,7.0,6.0,0.13301006501660423,26.0,13.0,val_scaled_fold_657.csv
RSI_7,0.979629476290056,1.6975972582913967,2.0,2.0,0.02840723208497144,36.0,13.333333333333334,val_scaled_fold_657.csv
RSI_7_lag_3,0.9544384989838499,1.4046253998731644,3.0,3.0,0.04196153587223911,34.0,13.333333333333334,val_scaled_fold_657.csv
RSI_7_lag_1,0.9813961352325963,1.706548443025946,1.0,1.0,0.008508577907528937,41.0,14.333333333333334,val_scaled_fold_657.csv
OBV_lag_3,0.8995828144483615,1.7380857828963654,12.0,4.0,0.17463207187229896,9.0,8.333333333333334,val_scaled_fold_14.csv
OBV,0.8123444245897401,1.4304175571119715,17.0,8.0,0.18088160716126617,2.0,9.0,val_scaled_fold_14.csv
OBV_lag_1,0.8369202719682647,1.518871248115682,16.0,6.0,0.17980485099600885,5.0,9.0,val_scaled_fold_14.csv
RSI_14_lag_5,1.0871354908446602,2.0538416900864664,5.0,1.0,0.16575742462537735,22.0,9.333333333333334,val_scaled_fold_14.csv
OBV_lag_5,0.9447077906186263,1.7974235460369563,9.0,2.0,0.16902724253345733,21.0,10.666666666666666,val_scaled_fold_14.csv
TEMA_12,1.0,1.4268769090638647,15.0,10.0,0.18781341982745445,3.0,9.333333333333334,train_scaled_fold_299.csv
Close,1.0000000000000002,1.3503568092593714,1.5,22.0,0.18581917332516737,10.0,11.166666666666666,train_scaled_fold_299.csv
SMA_5,1.0,1.3561948880147536,15.0,19.0,0.18839503421444415,1.0,11.666666666666666,train_scaled_fold_299.csv
Adj Close,1.0,1.3630741208955812,15.0,15.0,0.1866948643077151,7.0,12.333333333333334,train_scaled_fold_299.csv
RSI_7_lag_3,1.0000000000000002,1.5322635441135544,1.5,5.0,0.05098015139912658,35.0,13.833333333333334,train_scaled_fold_299.csv
RSI_14_lag_1,0.8022200979757631,1.132581635042083,12.0,9.0,0.200319642406433,2.0,7.666666666666667,val_scaled_fold_119.csv
BB_Lower_20_2Std,1.4143181625163592,2.1017042643763424,1.0,1.0,0.1770134084774899,21.0,7.666666666666667,val_scaled_fold_119.csv
RSI_7_lag_3,1.0286387032185746,1.5512223197019428,3.0,3.0,0.1803965748845398,17.0,7.666666666666667,val_scaled_fold_119.csv
BB_Lower_20_1.5Std,1.138726536813261,1.54085684513491,2.0,4.0,0.1788320480334748,19.0,8.333333333333334,val_scaled_fold_119.csv
RSI_14,0.7461215418194617,1.1000887457693906,13.0,10.0,0.19792810311341874,3.0,8.666666666666666,val_scaled_fold_119.csv
RSI_7_lag_5,1.0280877157945982,1.2844544477978044,4.0,4.0,0.15104650762686672,24.0,10.666666666666666,val_scaled_fold_28.csv
RSI_7_lag_3,1.0680289277012067,1.4187837030637844,3.0,3.0,0.14156119159005856,27.0,11.0,val_scaled_fold_28.csv
RSI_14_lag_1,0.9188254217539257,0.9178498424456496,6.0,5.0,0.1561014482581886,23.0,11.333333333333334,val_scaled_fold_28.csv
RSI_14_lag_3,0.8648735000566135,0.8766021973550608,7.0,8.0,0.1710018764674058,20.0,11.666666666666666,val_scaled_fold_28.csv
RSI_7,1.148093120809483,1.532408688490873,1.0,1.0,0.09932233227218486,34.0,12.0,val_scaled_fold_28.csv
SMA_5,1.0,1.719128271438283,15.0,4.0,0.18537971754612007,2.0,7.0,train_scaled_fold_55.csv
TEMA_26,1.0,1.7315573210676747,15.0,3.0,0.1844009812498948,3.0,7.0,train_scaled_fold_55.csv
Open,1.0,1.6988372453568445,15.0,7.0,0.18385526956823015,6.0,9.333333333333334,train_scaled_fold_55.csv
BB_Mid_10,1.0,1.66883728101949,15.0,14.0,0.18551955702854014,1.0,10.0,train_scaled_fold_55.csv
TEMA_12,1.0,1.69224880864742,15.0,10.0,0.18371062464267263,8.0,11.0,train_scaled_fold_55.csv
BB_Mid_10,1.0,1.715382613332097,12.0,9.0,0.1829291553367557,3.0,8.0,train_scaled_fold_474.csv
TEMA_12,1.0,1.73067597737213,12.0,6.0,0.18244497176266253,8.0,8.666666666666666,train_scaled_fold_474.csv
SMA_5,0.9999999999999999,1.7383387753557815,29.5,5.0,0.1830100139401047,1.0,11.833333333333334,train_scaled_fold_474.csv
BB_Lower_10_1.5Std,1.0,1.8900093670591813,12.0,1.0,0.18115290864269656,23.0,12.0,train_scaled_fold_474.csv
TEMA_26,0.9999999999999999,1.7252972408728078,29.5,7.0,0.18300010479447765,2.0,12.833333333333334,train_scaled_fold_474.csv
TEMA_26,1.0,1.6945071182956104,12.5,13.0,0.19329660160201279,2.0,9.166666666666666,train_scaled_fold_312.csv
BB_Mid_10,1.0,1.7005606723486475,12.5,12.0,0.19089649737268363,13.0,12.5,train_scaled_fold_312.csv
TEMA_12,1.0,1.594038856806387,12.5,23.0,0.1930018730938318,3.0,12.833333333333334,train_scaled_fold_312.csv
BB_Lower_10_2Std,1.0,1.8621311536997367,12.5,8.0,0.18488205432189497,19.0,13.166666666666666,train_scaled_fold_312.csv
BB_Lower_10_1.5Std,1.0,1.822070069447231,12.5,11.0,0.18779468235921107,17.0,13.5,train_scaled_fold_312.csv
BB_Lower_10_1.5Std,1.0,1.8843234084379397,14.0,1.0,0.18502375943311203,16.0,10.333333333333334,train_scaled_fold_306.csv
Low,1.0,1.641158712634602,14.0,13.0,0.1877932350974103,5.0,10.666666666666666,train_scaled_fold_306.csv
SMA_5,1.0,1.6293418644321347,14.0,17.0,0.1896687698314643,1.0,10.666666666666666,train_scaled_fold_306.csv
BB_Mid_10,1.0,1.7261606979700113,14.0,8.0,0.1865012237885696,11.0,11.0,train_scaled_fold_306.csv
BB_Lower_10_2Std,1.0,1.8152833107956012,14.0,2.0,0.1834928700628283,18.0,11.333333333333334,train_scaled_fold_306.csv
TEMA_12,1.0,1.0726637715460297,16.5,23.0,0.18292687461486595,2.0,13.833333333333334,train_scaled_fold_41.csv
Close_lag_1,1.0,1.0757767136380432,16.5,22.0,0.18255266515453494,4.0,14.166666666666666,train_scaled_fold_41.csv
SMA_5,1.0,1.0632973405315809,16.5,25.0,0.18322096912109453,1.0,14.166666666666666,train_scaled_fold_41.csv
Low,1.0,1.0793287919282166,16.5,20.0,0.18197352302383074,9.0,15.166666666666666,train_scaled_fold_41.csv
BB_Mid_10,1.0,1.1096637485923817,16.5,16.0,0.18177978458417385,13.0,15.166666666666666,train_scaled_fold_41.csv
TEMA_12,1.0000000000000002,1.6688033077292523,1.0,17.0,0.18114583107097976,1.0,6.333333333333333,train_scaled_fold_460.csv
TEMA_26,1.0,1.7865232366910682,13.5,6.0,0.1806297892499465,3.0,7.5,train_scaled_fold_460.csv
SMA_5,1.0,1.7566092242299316,13.5,9.0,0.18088507877964344,2.0,8.166666666666666,train_scaled_fold_460.csv
Adj Close,1.0,1.7718790970980351,13.5,8.0,0.18007327410113955,6.0,9.166666666666666,train_scaled_fold_460.csv
Close_lag_1,1.0,1.6787576499076422,13.5,15.0,0.18022671947390462,4.0,10.833333333333334,train_scaled_fold_460.csv
Low,1.0,1.7865186192526428,9.5,4.0,0.18392510387146835,8.0,7.166666666666667,train_scaled_fold_69.csv
TEMA_26,1.0,1.7395432729641847,9.5,9.0,0.18447398009093577,3.0,7.166666666666667,train_scaled_fold_69.csv
SMA_5,1.0,1.7052616299444991,9.5,15.0,0.18540203470995673,1.0,8.5,train_scaled_fold_69.csv
TEMA_12,1.0,1.703027427798553,9.5,17.0,0.1852776687457386,2.0,9.5,train_scaled_fold_69.csv
BB_Lower_10_2Std,1.0,1.7599850321669557,9.5,8.0,0.17910642725870335,18.0,11.833333333333334,train_scaled_fold_69.csv
Adj Close,1.0,1.8341586000081924,10.5,4.0,0.18222083942439357,4.0,6.166666666666667,train_scaled_fold_448.csv
SMA_5,1.0,1.6616458167634973,10.5,12.0,0.18286674857901813,2.0,8.166666666666666,train_scaled_fold_448.csv
TEMA_12,1.0,1.5897644058412748,10.5,14.0,0.18307209399230145,1.0,8.5,train_scaled_fold_448.csv
Close,1.0,1.7953546777685156,10.5,7.0,0.18180877590027786,9.0,8.833333333333334,train_scaled_fold_448.csv
Open,1.0,1.8232762849293143,10.5,5.0,0.1816629614540106,12.0,9.166666666666666,train_scaled_fold_448.csv
TEMA_12,1.0,1.6771399361632788,15.5,4.0,0.1849152662698162,1.0,6.833333333333333,train_scaled_fold_96.csv
SMA_5,1.0,1.6984549490022278,15.5,3.0,0.1845438206911188,2.0,6.833333333333333,train_scaled_fold_96.csv
BB_Upper_20_1.5Std,1.0000000000000002,1.8538406545848736,2.5,2.0,0.165410972618854,25.0,9.833333333333334,train_scaled_fold_96.csv
Open,1.0,1.661278771656451,15.5,9.0,0.18383284038332368,9.0,11.166666666666666,train_scaled_fold_96.csv
Adj Close,1.0,1.6353336625259365,15.5,18.0,0.18422491137440963,3.0,12.166666666666666,train_scaled_fold_96.csv
BB_Upper_20_1.5Std,1.0,1.1523459755763084,12.5,15.0,0.18160114124385235,4.0,10.5,train_scaled_fold_82.csv
Close_lag_5,1.0,1.1395144051002197,12.5,18.0,0.18128506238023817,6.0,12.166666666666666,train_scaled_fold_82.csv
RSI_7_lag_3,1.0000000000000002,1.4203011640567833,1.5,4.0,0.04748441044477951,35.0,13.5,train_scaled_fold_82.csv
BB_Upper_20_2Std,1.0,1.1439014506751586,12.5,17.0,0.1808407563211903,12.0,13.833333333333334,train_scaled_fold_82.csv
BB_Mid_20,0.9999999999999999,1.2087512370189675,29.0,12.0,0.18225703780795413,2.0,14.333333333333334,train_scaled_fold_82.csv
Adj Close,0.6762828300760578,1.0792473498510278,16.0,10.0,0.16979598604427348,5.0,10.333333333333334,val_scaled_fold_290.csv
TEMA_12,0.7022992961522294,0.9924089306920871,14.0,17.0,0.17307866785652495,1.0,10.666666666666666,val_scaled_fold_290.csv
RSI_7_lag_3,1.1002802317164877,1.6356630967287726,3.0,1.0,0.14238191609169423,34.0,12.666666666666666,val_scaled_fold_290.csv
RSI_14_lag_3,1.0205944019289956,1.4445564027339652,7.0,3.0,0.16007996207720077,28.0,12.666666666666666,val_scaled_fold_290.csv
Close_lag_1,0.6818153850358596,0.9711757075892837,15.0,20.0,0.1714908186423529,4.0,13.0,val_scaled_fold_290.csv
OBV_lag_3,1.0000000000000002,1.5646548734849002,1.0,3.0,0.17754967087311357,28.0,10.666666666666666,train_scaled_fold_110.csv
Close_lag_1,1.0,1.0810455758754858,14.5,23.0,0.18382262813876915,5.0,14.166666666666666,train_scaled_fold_110.csv
TEMA_12,1.0,1.101941809522708,14.5,20.0,0.18353602045443007,8.0,14.166666666666666,train_scaled_fold_110.csv
Close_lag_3,1.0,1.0668816336931308,14.5,28.0,0.18378919747717926,6.0,16.166666666666668,train_scaled_fold_110.csv
Low,1.0,1.0844739347755818,14.5,21.0,0.18332966261150968,14.0,16.5,train_scaled_fold_110.csv
SMA_5,1.0,1.5847727537365164,15.0,2.0,0.2062065555203188,1.0,6.0,train_scaled_fold_676.csv
TEMA_12,1.0,1.5449130203824948,15.0,5.0,0.20152874022739747,3.0,7.666666666666667,train_scaled_fold_676.csv
Low,1.0,1.6004399456020477,15.0,1.0,0.20050305467052862,8.0,8.0,train_scaled_fold_676.csv
Close_lag_1,1.0,1.5278895899887028,15.0,8.0,0.20073204145840975,4.0,9.0,train_scaled_fold_676.csv
BB_Mid_10,1.0,1.5392719536640522,15.0,6.0,0.19910776725339044,9.0,10.0,train_scaled_fold_676.csv
TEMA_12,1.0,1.296263213409338,14.0,14.0,0.18594681250693085,1.0,9.666666666666666,train_scaled_fold_662.csv
Low,1.0,1.2946946881831245,14.0,15.0,0.18462391197004113,5.0,11.333333333333334,train_scaled_fold_662.csv
Adj Close,1.0,1.2753680014936282,14.0,21.0,0.18480935882905783,4.0,13.0,train_scaled_fold_662.csv
Close_lag_1,1.0,1.249967134947206,14.0,24.0,0.18482224190775398,3.0,13.666666666666666,train_scaled_fold_662.csv
RSI_14_lag_5,1.0,1.4283584619292897,14.0,1.0,0.14389482049101757,27.0,14.0,train_scaled_fold_662.csv
RSI_7_lag_3,1.0310108708151873,2.0181003274220117,7.0,2.0,0.1776914571983147,17.0,8.666666666666666,val_scaled_fold_284.csv
RSI_14_lag_1,0.871857237314227,1.2286016383611431,12.0,7.0,0.19098452978181837,8.0,9.0,val_scaled_fold_284.csv
RSI_7_lag_1,1.0265615220363304,2.0321248356478128,8.0,1.0,0.165145775644162,22.0,10.333333333333334,val_scaled_fold_284.csv
RSI_14_lag_3,0.9205642373991964,1.2689170633342557,11.0,6.0,0.18380846547362206,16.0,11.0,val_scaled_fold_284.csv
RSI_7_lag_5,1.0535648033765994,1.974144291772781,6.0,3.0,0.13876869831901803,25.0,11.333333333333334,val_scaled_fold_284.csv
TEMA_26,1.0,1.8553551598882256,9.0,3.0,0.17921097394150692,3.0,5.0,train_scaled_fold_104.csv
BB_Upper_10_1.5Std,1.0,1.8818609137588178,9.0,2.0,0.17678127825485526,17.0,9.333333333333334,train_scaled_fold_104.csv
Adj Close,0.9999999999999999,1.74445708609258,26.0,7.0,0.17899796900149167,5.0,12.666666666666666,train_scaled_fold_104.csv
SMA_5,0.9999999999999999,1.7310242674344536,26.0,10.0,0.17924139094353797,2.0,12.666666666666666,train_scaled_fold_104.csv
BB_Upper_20_1.5Std,1.0,1.8075520893617187,9.0,6.0,0.1736267743304962,25.0,13.333333333333334,train_scaled_fold_104.csv
TEMA_26,1.0,1.3231458764558648,12.5,15.0,0.1805818715580546,6.0,11.166666666666666,train_scaled_fold_138.csv
TEMA_12,1.0,1.2578407296639202,12.5,21.0,0.18136618769796248,1.0,11.5,train_scaled_fold_138.csv
Close_lag_1,1.0,1.1950498605287252,12.5,27.0,0.1806461597979397,3.0,14.166666666666666,train_scaled_fold_138.csv
BB_Lower_10_1.5Std,1.0,1.3625308713545796,12.5,12.0,0.17617897417140202,22.0,15.5,train_scaled_fold_138.csv
BB_Lower_10_2Std,1.0,1.3701711623133832,12.5,9.0,0.17428336267089298,26.0,15.833333333333334,train_scaled_fold_138.csv
TEMA_12,0.6106096609079958,0.9236276999014329,15.0,13.0,0.18888604921321223,1.0,9.666666666666666,val_scaled_fold_253.csv
BB_Lower_10_2Std,0.7245564980377024,1.2705740215483246,9.0,5.0,0.15072008293897335,24.0,12.666666666666666,val_scaled_fold_253.csv
SMA_5,0.5494164120494613,0.9012828512459354,21.0,16.0,0.18489211666110802,2.0,13.0,val_scaled_fold_253.csv
RSI_7_lag_3,0.9171003696021144,1.4544495894184615,3.0,1.0,0.1270914462763107,35.0,13.0,val_scaled_fold_253.csv
RSI_7_lag_5,0.873372654435377,1.3879858373491254,7.0,3.0,0.13864075239220242,31.0,13.666666666666666,val_scaled_fold_253.csv
TEMA_12,0.29451396803512453,0.471130701679523,14.0,14.0,0.18010368700313809,1.0,9.666666666666666,val_scaled_fold_535.csv
RSI_7_lag_5,1.4171039627457587,3.0340067667355237,8.0,4.0,0.16886244258220698,20.0,10.666666666666666,val_scaled_fold_535.csv
RSI_7_lag_3,1.4809284170378185,3.2482444716851404,3.0,3.0,0.1542739940450514,28.0,11.333333333333334,val_scaled_fold_535.csv
RSI_7,1.5448033530626433,3.401047450887873,1.0,1.0,0.12904423276743623,34.0,12.0,val_scaled_fold_535.csv
RSI_7_lag_1,1.5304259853289846,3.364305156246245,2.0,2.0,0.13760537700407963,33.0,12.333333333333334,val_scaled_fold_535.csv
OBV_lag_1,0.31499175858619527,0.5156687308949457,11.0,9.0,0.1727751093987093,5.0,8.333333333333334,val_scaled_fold_521.csv
OBV,0.33091344787491384,0.5745763234365884,9.0,5.0,0.1719126804603931,14.0,9.333333333333334,val_scaled_fold_521.csv
OBV_lag_3,0.2817322593013435,0.3306259796447555,12.0,14.0,0.17272012347998308,6.0,10.666666666666666,val_scaled_fold_521.csv
RSI_7_lag_3,0.5624728917309082,1.034165911493739,4.0,3.0,0.15342031316848073,27.0,11.333333333333334,val_scaled_fold_521.csv
RSI_7_lag_1,0.5904413696278321,1.0824540583202396,3.0,2.0,0.14932159801038136,29.0,11.333333333333334,val_scaled_fold_521.csv
