fold_id,interval,source,p,q,threshold_base,cost_mult,thr_mult,test_sharpe,test_mdd,test_turnover
35,20,GA+BO_knee,4,3,0.5999569251860853,0.5,0.8,1.7557363535193475,0.08476922142885475,93.03739764138439
35,20,GA+BO_knee,4,3,0.5999569251860853,0.5,1.0,1.7557363535193469,0.06830299474118208,74.42991842325448
35,20,GA+BO_knee,4,3,0.5999569251860853,0.5,1.2,1.755736353519347,0.057191658804081794,62.02493219168255
35,20,GA+BO_knee,4,3,0.5999569251860853,1.0,0.8,1.690680205538853,0.08479976141862174,93.03739764138439
35,20,GA+BO_knee,4,3,0.5999569251860853,1.0,1.0,1.6906802055388528,0.06832783730384338,74.42991842325448
35,20,GA+BO_knee,4,3,0.5999569251860853,1.0,1.2,1.690680205538853,0.05721259158689989,62.02493219168255
35,20,GA+BO_knee,4,3,0.5999569251860853,1.5,0.8,1.6254174441201783,0.08483030064696415,93.03739764138439
35,20,GA+BO_knee,4,3,0.5999569251860853,1.5,1.0,1.6254174441201783,0.06835267937167808,74.42991842325448
35,20,GA+BO_knee,4,3,0.5999569251860853,1.5,1.2,1.6254174441201779,0.05723352402257791,62.02493219168255
