fold_id,retrain_interval,source,window,units,learning_rate,epochs,threshold,val_sharpe_front,val_mdd_front,test_sharpe,test_mdd,test_ann_return,test_ann_vol,test_turnover,test_n_points,,,,,,,,,,,,,,,
347,10,GA_knee,20,43,0.001199494,30,0.744743423,5.663516039,0.005493123,-0.120088746,0.350051141,-0.015947663,0.132798976,112,1519,,,,,,,,,,,,,,,
347,10,GA+BO_knee,20,43,0.001199494,30,0.744743423,5.663516039,0.005493123,0.091971144,0.308497091,0.013684863,0.148795182,127,1519,,,,,,,,,,,,,,,
347,20,GA_knee,20,36,0.001,20,0.68146115,6.495241424,0.00999918,-0.026095583,0.325487866,-0.003284248,0.125854555,48,1519,,,,,,,,,,,,,,,
347,20,GA+BO_knee,23,36,0.000998833,20,0.536652044,5.935072807,0.00385652,0.192635211,0.220065265,0.024618019,0.127796051,38,1519,,,,,,,,,,,,,,,
347,42,GA_knee,20,36,0.000353548,18,0.5,5.57480842,0.008420497,0.352814111,0.274963179,0.042718378,0.121078996,47,1519,,,,,,,,,,,,,,,
347,42,GA+BO_knee,10,119,0.001737,14,0.872,5.654435817,0.0007,1.102969451,0.106708887,0.129200011,0.11713834,76,1519,,,,,,,,,,,,,,,
364,10,GA_knee,21,36,0.002030895,20,0.5,7.912571592,0.001549869,0.259090823,0.243853931,0.027450646,0.105949896,82,1519,,,,,,,,,,,,,,,
364,10,GA+BO_knee,21,36,0.002030895,20,0.5,7.912571592,0.001549869,0.392554756,0.3016746,0.055087398,0.140330481,86,1519,,,,,,,,,,,,,,,
364,20,GA_knee,20,35,0.000203864,30,0.7,6.812511151,0.011814364,0.629749922,0.172492063,0.06474021,0.102803046,60,1519,,,,,,,,,,,,,,,
364,20,GA+BO_knee,20,35,0.000203864,30,0.7,6.812511151,0.011814364,0.115824298,0.204450096,0.008170987,0.070546401,22,1519,,,,,,,,,,,,,,,
364,42,GA_knee,20,36,0.001005792,16,0.7,6.088507449,0.01299562,-0.00695881,0.239360127,-0.000676108,0.097158512,34,1519,,,,,,,,,,,,,,,
364,42,GA+BO_knee,20,36,0.000858543,13,0.62228123,6.045416314,0.012304233,-0.238312156,0.402127395,-0.038669363,0.162263492,72,1519,,,,,,,,,,,,,,,
400,10,GA_knee,13,36,0.00272811,30,0.788907745,6.338333975,0.003599969,-1.02123929,0.662724364,-0.143136246,0.140159361,106,1519,,,,,,,,,,,,,,,
400,10,GA+BO_knee,13,36,0.00272811,30,0.788907745,6.338333975,0.003599969,0.556539457,0.125785925,0.058029594,0.104268607,100,1519,,,,,,,,,,,,,,,
400,20,GA_knee,20,39,0.000501831,30,0.6942628,5.69779859,0.004481415,0.773966119,0.152853056,0.074521336,0.096285011,52,1519,,,,,,,,,,,,,,,
400,20,GA+BO_knee,20,39,0.000501831,30,0.6942628,5.69779859,0.004481415,0.821534794,0.211851526,0.134256802,0.163421931,52,1519,,,,,,,,,,,,,,,
400,42,GA_knee,19,36,0.000320568,30,0.6,6.733249703,0.003936973,1.071858369,0.082068066,0.113065716,0.105485687,45,1519,,,,,,,,,,,,,,,
400,42,GA+BO_knee,19,36,0.000320568,30,0.6,6.733249703,0.003936973,-0.4375728,0.394486738,-0.044963215,0.102755964,52,1519,,,,,,,,,,,,,,,
444,10,GA_knee,20,36,0.001,30,0.490130952,4.32581882,0.009483048,0.124935104,0.356776659,0.019474543,0.155877274,103,1519,,,,,,,,,,,,,,,
444,10,GA+BO_knee,20,36,0.001,30,0.490130952,4.32581882,0.009483048,0.71267774,0.297216295,0.100404069,0.140882847,90,1519,,,,,,,,,,,,,,,
444,20,GA_knee,20,36,0.000984348,20,0.600786632,5.869819426,0.008996004,0.258907545,0.26765863,0.042024056,0.162312985,65,1519,,,,,,,,,,,,,,,
444,20,GA+BO_knee,20,36,0.000984348,20,0.600786632,5.869819426,0.008996004,0.171633737,0.243588845,0.02435013,0.141872629,60,1519,,,,,,,,,,,,,,,
444,42,GA_knee,20,36,0.000356709,27,0.782218035,5.258633326,0.001809126,-0.086606515,0.306704927,-0.012628701,0.145816981,46,1519,,,,,,,,,,,,,,,
444,42,GA+BO_knee,20,36,0.000356709,27,0.782218035,5.258633326,0.001809126,0.135272534,0.19311314,0.016278688,0.120339932,40,1519,,,,,,,,,,,,,,,
553,10,GA_knee,20,40,0.000722928,15,0.6,14.56285903,0.006567183,1.076375464,0.203673189,0.189822013,0.176352973,152,1519,,,,,,,,,,,,,,,
553,10,GA+BO_knee,20,40,0.000722928,15,0.6,14.56285903,0.006567183,0.118485404,0.285503926,0.023707733,0.200089903,142,1519,,,,,,,,,,,,,,,
