ticker,rmse_arima,rmse_lstm,rmse_improvement_%
NVDA,0.05324310970257,0.2433034777641296,-356.9670688344215
TSLA,0.0253836289588607,0.4307930767536163,-1597.12958478791
MSFT,0.0188166280336069,0.3927517831325531,-1987.259111627705
AAPL,0.0121439866561012,0.3601905107498169,-2865.9989009363358
META,0.0108252390347407,0.385013610124588,-3456.629178247151
AMZN,0.0117000767643358,0.4227344095706939,-3513.0909060295558
GOOGL,0.0097480991282826,0.4313168525695801,-4324.625220707707
