interval,source,Sharpe_mean,MDD_mean,AnnRet_mean,n
10,GA+BO_knee,1.4649426604638907,0.19450304981920485,0.32385719621809994,11
10,GA_knee,1.4429697749205541,0.1668398087769554,0.25807861333826376,11
20,GA+BO_knee,1.5111850818017907,0.09623337161944567,0.1306830798261558,11
20,GA_knee,1.511407208972627,0.09626171079383927,0.13033326944688398,11
42,GA+BO_knee,1.3333227678483033,0.09343751298998265,0.09807558671342825,11
42,GA_knee,1.3333227678483033,0.09343751298998265,0.09807558671342825,11
