Interval,Folds,Improved,Not improved,improve_rate_%,Mean ΔHV,Median ΔHV
10,11,4,7,36.4,0.00011952923084872983,8.790884679930888e-05
20,11,6,5,54.5,2.501961673651964e-05,4.482918194049536e-06
42,11,2,9,18.2,3.594175596945831e-05,3.594175596945831e-05
