fold_id,retrain_interval,front_type,p,q,threshold,sharpe,mdd,garch_mode,garch_ic,dist,dist_last,aic_norm,aic_t
347,10,GA,4,1,0.5999999807303626,1.9654252581020513,0.010339217095129343,auto,aic,t,t,2353.0845725218564,2297.2018422043575
347,10,GA,4,1,0.5999999807303626,1.9654252581020513,0.010339217095129343,auto,aic,t,t,2353.0845725218564,2297.2018422043575
347,10,GA+BO,4,1,0.5999999807303626,1.9654252581020513,0.010339217095129343,auto,aic,t,t,2353.0845725218564,2297.2018422043575
347,10,GA+BO,4,1,0.5999999807303626,1.9654252581020513,0.010339217095129343,auto,aic,t,t,2353.0845725218564,2297.2018422043575
347,20,GA,6,1,0.5999941782388035,1.5356216109141683,0.010240395001779746,auto,aic,t,t,2317.8806201884668,2262.1479234366398
347,20,GA,6,2,0.5999786028988753,1.0295676630426374,0.01002471421736088,auto,aic,t,t,2317.9409100128896,2259.395318384787
347,20,GA+BO,6,1,0.5999941782388035,1.5356216109141683,0.010240395001779746,auto,aic,t,t,2317.8806201884668,2262.1479234366398
347,20,GA+BO,6,2,0.5999786028988753,1.0295676630426374,0.01002471421736088,auto,aic,t,t,2317.9409100128896,2259.395318384787
347,42,GA,4,2,0.5999791487654254,1.5461570587346272,0.008760704025950155,auto,aic,t,t,2219.5841037833466,2184.7579386333837
347,42,GA,7,2,0.5999948379492357,2.175481748815776,0.009065265120813062,auto,aic,t,t,2241.8476261281776,2189.5984356979325
347,42,GA,6,1,0.5999983196479719,2.460670892136886,0.009345496384258845,auto,aic,t,t,2240.807373223306,2189.1148374882305
347,42,GA,7,2,0.5999948379492357,2.175481748815776,0.009065265120813062,auto,aic,t,t,2241.8476261281776,2189.5984356979325
347,42,GA+BO,4,2,0.5999791487654254,1.5461570587346272,0.008760704025950155,auto,aic,t,t,2219.5841037833466,2184.7579386333837
347,42,GA+BO,7,2,0.5999948379492357,2.175481748815776,0.009065265120813062,auto,aic,t,t,2241.8476261281776,2189.5984356979325
347,42,GA+BO,6,1,0.5999983196479719,2.460670892136886,0.009345496384258845,auto,aic,t,t,2240.807373223306,2189.1148374882305
347,42,GA+BO,7,2,0.5999948379492357,2.175481748815776,0.009065265120813062,auto,aic,t,t,2241.8476261281776,2189.5984356979325
347,42,GA+BO,1,2,0.5824165575580816,1.557069818267495,0.00893861522616319,auto,aic,t,t,2219.693152340895,2184.4541997668503
343,10,GA,1,1,0.5999898047312269,6.4325927224122985,0.006981511610884867,auto,aic,t,t,2354.5557630208664,2324.22648064807
343,10,GA,2,2,0.5995409799497726,5.542771259266933,0.00641332449867173,auto,aic,t,t,2356.539101354284,2324.577956283387
343,10,GA,1,1,0.5999898047312269,6.4325927224122985,0.006981511610884867,auto,aic,t,t,2354.5557630208664,2324.22648064807
343,10,GA+BO,1,1,0.5999898047312269,6.4325927224122985,0.006981511610884867,auto,aic,t,t,2354.5557630208664,2324.22648064807
343,10,GA+BO,2,2,0.5995409799497726,5.542771259266933,0.00641332449867173,auto,aic,t,t,2356.539101354284,2324.577956283387
343,10,GA+BO,1,1,0.5999898047312269,6.4325927224122985,0.006981511610884867,auto,aic,t,t,2354.5557630208664,2324.22648064807
343,10,GA+BO,3,5,0.599674765079288,6.969169472012622,0.008338635297927032,auto,aic,t,t,2362.343189909999,2329.040585465852
343,20,GA,2,4,0.5999911879054975,3.5517219775245312,0.010178397230840885,auto,aic,t,t,2360.2694183569347,2328.6075439990605
343,20,GA,2,4,0.5999911879054975,3.5517219775245312,0.010178397230840885,auto,aic,t,t,2360.2694183569347,2328.6075439990605
343,20,GA,3,3,0.5999995447481797,5.334870061980764,0.012706659563337804,auto,aic,t,t,2355.646264702356,2325.7986888793903
343,20,GA,2,2,0.5999976794014342,4.454039022549384,0.010283390455315107,auto,aic,t,t,2351.6558766966514,2322.3741614890587
343,20,GA,4,3,0.599995672893777,4.720252845601739,0.010438029950023462,auto,aic,t,t,2354.2228632481615,2328.0420251152514
343,20,GA,2,4,0.5999911879054975,3.5517219775245312,0.010178397230840885,auto,aic,t,t,2360.2694183569347,2328.6075439990605
343,20,GA,2,4,0.5999911879054975,3.5517219775245312,0.010178397230840885,auto,aic,t,t,2360.2694183569347,2328.6075439990605
343,20,GA,2,4,0.5999911879054975,3.5517219775245312,0.010178397230840885,auto,aic,t,t,2360.2694183569347,2328.6075439990605
343,20,GA+BO,2,4,0.5999911879054975,3.5517219775245312,0.010178397230840885,auto,aic,t,t,2360.2694183569347,2328.6075439990605
343,20,GA+BO,2,4,0.5999911879054975,3.5517219775245312,0.010178397230840885,auto,aic,t,t,2360.2694183569347,2328.6075439990605
343,20,GA+BO,3,3,0.5999995447481797,5.334870061980764,0.012706659563337804,auto,aic,t,t,2355.646264702356,2325.7986888793903
343,20,GA+BO,2,2,0.5999976794014342,4.454039022549384,0.010283390455315107,auto,aic,t,t,2351.6558766966514,2322.3741614890587
343,20,GA+BO,4,3,0.599995672893777,4.720252845601739,0.010438029950023462,auto,aic,t,t,2354.2228632481615,2328.0420251152514
343,20,GA+BO,2,4,0.5999911879054975,3.5517219775245312,0.010178397230840885,auto,aic,t,t,2360.2694183569347,2328.6075439990605
343,20,GA+BO,2,4,0.5999911879054975,3.5517219775245312,0.010178397230840885,auto,aic,t,t,2360.2694183569347,2328.6075439990605
343,20,GA+BO,2,4,0.5999911879054975,3.5517219775245312,0.010178397230840885,auto,aic,t,t,2360.2694183569347,2328.6075439990605
343,42,GA,2,4,0.5999941378725997,2.625355585767112,0.010178347364536624,auto,aic,t,t,2155.2438331463272,2133.7620543299936
