fold_id,retrain_interval,stage,gen,hv,ref0,ref1,n_front
347,10,GA,1,0.23310116009627443,1.3946747882021238,0.10199777799407655,2
347,10,GA,2,0.3073650503734208,1.3946747882021238,0.10199777799407655,2
347,10,GA,3,0.3076981187030011,1.3946747882021238,0.10199777799407655,1
347,10,GA,4,0.3078719999974221,1.3946747882021238,0.10199777799407655,1
347,10,GA,5,0.30789935687453246,1.3946747882021238,0.10199777799407655,1
347,10,GA,6,0.3079519226632144,1.3946747882021238,0.10199777799407655,1
347,10,GA,7,0.3079778644427608,1.3946747882021238,0.10199777799407655,1
347,10,GA,8,0.30797876394385343,1.3946747882021238,0.10199777799407655,1
347,10,GA,9,0.30798161875816826,1.3946747882021238,0.10199777799407655,1
347,10,GA,10,0.30798190940856024,1.3946747882021238,0.10199777799407655,1
347,10,GA,11,0.30798190940856024,1.3946747882021238,0.10199777799407655,2
347,10,GA,12,0.30798191657321106,1.3946747882021238,0.10199777799407655,1
347,10,GA,13,0.30798191657321106,1.3946747882021238,0.10199777799407655,2
347,10,GA,14,0.30798192225300564,1.3946747882021238,0.10199777799407655,1
347,10,GA,15,0.30798192225300564,1.3946747882021238,0.10199777799407655,1
347,10,GA,16,0.3079819337556917,1.3946747882021238,0.10199777799407655,1
347,10,GA,17,0.3079819337556917,1.3946747882021238,0.10199777799407655,1
347,10,GA,18,0.30798193472072655,1.3946747882021238,0.10199777799407655,1
347,10,GA,19,0.30798193472072655,1.3946747882021238,0.10199777799407655,1
347,10,GA,20,0.30798193472072655,1.3946747882021238,0.10199777799407655,2
347,10,final_ga,-1,0.0,-2.1619667839122565,0.011374142886215124,2
347,10,final_union,-1,0.0,-2.1619667839122565,0.011374142886215124,2
347,10,final_ga,-1,0.0,-2.1619667839122565,0.011374142886215124,2
347,10,final_union,-1,0.0,-2.1619667839122565,0.011374142886215124,2
347,20,GA,1,0.24569369085953371,1.0383031958081352,0.10615613160483217,2
347,20,GA,2,0.24591645705314757,1.0383031958081352,0.10615613160483217,4
347,20,GA,3,0.24597950940206373,1.0383031958081352,0.10615613160483217,2
347,20,GA,4,0.24655182849964438,1.0383031958081352,0.10615613160483217,4
347,20,GA,5,0.24693053927479275,1.0383031958081352,0.10615613160483217,2
347,20,GA,6,0.2471322337521803,1.0383031958081352,0.10615613160483217,2
347,20,GA,7,0.24724342144476702,1.0383031958081352,0.10615613160483217,2
347,20,GA,8,0.24724984131397912,1.0383031958081352,0.10615613160483217,2
347,20,GA,9,0.24727141935977487,1.0383031958081352,0.10615613160483217,2
347,20,GA,10,0.2472830351990406,1.0383031958081352,0.10615613160483217,2
347,20,GA,11,0.24728392125558882,1.0383031958081352,0.10615613160483217,2
347,20,GA,12,0.247284367367388,1.0383031958081352,0.10615613160483217,4
347,20,GA,13,0.2472888905086285,1.0383031958081352,0.10615613160483217,2
347,20,GA,14,0.24731176380600187,1.0383031958081352,0.10615613160483217,2
347,20,GA,15,0.24732244128108632,1.0383031958081352,0.10615613160483217,3
347,20,GA,16,0.2473239109716822,1.0383031958081352,0.10615613160483217,3
347,20,GA,17,0.2473239109716822,1.0383031958081352,0.10615613160483217,3
347,20,GA,18,0.24732408189094812,1.0383031958081352,0.10615613160483217,2
347,20,GA,19,0.24732575877968602,1.0383031958081352,0.10615613160483217,2
347,20,GA,20,0.24732589380655293,1.0383031958081352,0.10615613160483217,2
347,20,final_ga,-1,0.0004206296389675562,-1.1325234293469013,0.011283886781703252,2
347,20,final_union,-1,0.0004206296389675562,-1.1325234293469013,0.011283886781703252,2
347,20,final_ga,-1,0.0004206296389675562,-1.1325234293469013,0.011283886781703252,2
347,20,final_union,-1,0.0004206296389675562,-1.1325234293469013,0.011283886781703252,2
347,42,GA,1,0.11931581563332386,-1.1559999465903994,0.1010042300964948,3
347,42,GA,2,0.11963799689977349,-1.1559999465903994,0.1010042300964948,5
347,42,GA,3,0.11965446076939533,-1.1559999465903994,0.1010042300964948,4
347,42,GA,4,0.11984028329339007,-1.1559999465903994,0.1010042300964948,3
347,42,GA,5,0.11987936106390668,-1.1559999465903994,0.1010042300964948,5
347,42,GA,6,0.11992362403102239,-1.1559999465903994,0.1010042300964948,3
347,42,GA,7,0.11994771736080094,-1.1559999465903994,0.1010042300964948,4
347,42,GA,8,0.11994771736080094,-1.1559999465903994,0.1010042300964948,6
347,42,GA,9,0.11998350219389788,-1.1559999465903994,0.1010042300964948,3
347,42,GA,10,0.11998733530865925,-1.1559999465903994,0.1010042300964948,3
347,42,GA,11,0.11998733530865925,-1.1559999465903994,0.1010042300964948,3
347,42,GA,12,0.1199876482247956,-1.1559999465903994,0.1010042300964948,4
347,42,GA,13,0.1199876482247956,-1.1559999465903994,0.1010042300964948,5
347,42,GA,14,0.11998872573995753,-1.1559999465903994,0.1010042300964948,3
347,42,GA,15,0.11998879322669243,-1.1559999465903994,0.1010042300964948,4
347,42,GA,16,0.11998882948284359,-1.1559999465903994,0.1010042300964948,4
347,42,GA,17,0.1199889480349878,-1.1559999465903994,0.1010042300964948,3
347,42,GA,18,0.1199889756473974,-1.1559999465903994,0.1010042300964948,4
347,42,GA,19,0.11998900413067733,-1.1559999465903994,0.1010042300964948,3
347,42,GA,20,0.11998900413067733,-1.1559999465903994,0.1010042300964948,4
347,42,final_ga,-1,0.0012922031157250487,-1.7007717646080902,0.01087092850424279,4
347,42,final_union,-1,0.0012922031157250487,-1.7007717646080902,0.01087092850424279,5
347,42,final_ga,-1,0.0012922031157250487,-1.7007717646080902,0.01087092850424279,4
