stage,seed,gen,iter,fold_id,retrain_interval,p,q,threshold,sharpe,mdd,turnover,penalty,strategy,garch_mode,garch_ic,dist,dist_last,aic_norm,aic_t
GA,42,1,-1,347,10,6,1,0.5165727727477156,1.1577200754808503,0.0122229706000505,2.852410989910986,0.0021437329196255,continuous,auto,aic,t,t,2355.7456330786354,2301.2232732396515
GA,42,1,-1,347,10,5,1,0.5822468127755767,1.150830636694408,0.0106671291640437,2.484515460912249,0.0021437329196255,continuous,auto,aic,t,t,2355.826536085399,2294.859488899747
GA,42,2,-1,347,10,5,1,0.5938619675257698,1.1508306366944074,0.0105009354411992,2.43592162488662,0.0021437329196255,continuous,auto,aic,t,t,2355.826536085399,2294.859488899747
GA,42,2,-1,347,10,4,1,0.5820549303810896,1.9654252581020504,0.0105911576489779,2.2874365609682497,0.0021437329196255,continuous,auto,aic,t,t,2353.0845725218564,2297.2018422043575
GA,42,3,-1,347,10,4,1,0.5938619675257698,1.9654252581020517,0.0104236836329747,2.2419582352569862,0.0021437329196255,continuous,auto,aic,t,t,2353.0845725218564,2297.2018422043575
GA,42,4,-1,347,10,4,1,0.5976074991634999,1.9654252581020513,0.0103719347885877,2.227906662323476,0.0021437329196255,continuous,auto,aic,t,t,2353.0845725218564,2297.2018422043575
GA,42,5,-1,347,10,4,1,0.5982010799832744,1.9654252581020508,0.0103637931033005,2.2256959631369533,0.0021437329196255,continuous,auto,aic,t,t,2353.0845725218564,2297.2018422043575
GA,42,6,-1,347,10,4,1,0.5993449423663622,1.965425258102051,0.0103481489891499,2.221448175817863,0.0021437329196255,continuous,auto,aic,t,t,2353.0845725218564,2297.2018422043575
GA,42,7,-1,347,10,4,1,0.5999110598188873,1.9654252581020504,0.010340428451312,2.2193518641385497,0.0021437329196255,continuous,auto,aic,t,t,2353.0845725218564,2297.2018422043575
GA,42,9,-1,347,10,4,1,0.599993077145594,1.965425258102051,0.0103393111288051,2.219048485131661,0.0021437329196255,continuous,auto,aic,t,t,2353.0845725218564,2297.2018422043575
BO,42,-1,1,347,10,1,7,0.05304719128448,-0.4587431349437499,0.0927243436309786,3.4558212162391686,0.0021437329196255,continuous,auto,aic,t,t,2350.4329720018036,2302.9223928482597
BO,42,-1,2,347,10,4,1,0.5190192396683452,1.9654252581020504,0.0116137845393028,2.565249269599686,0.0021437329196255,continuous,auto,aic,t,t,2353.0845725218564,2297.2018422043575
BO,42,-1,3,347,10,7,2,0.5681879567035462,0.6875187069416353,0.0111384721956917,3.6159424604971977,0.0021437329196255,continuous,auto,aic,t,t,2356.2141754454797,2301.209590863917
BO,42,-1,4,347,10,1,1,0.5309462092224619,1.0539726033131454,0.0226564235868751,2.4572137129231835,0.0021437329196255,continuous,auto,aic,t,t,2336.652599243482,2298.575411319018
BO,42,-1,5,347,10,7,1,0.0184952215388847,-0.0105025649092806,0.0927243436309786,9.0,0.0021437329196255,continuous,auto,aic,t,t,2357.1495557747685,2302.459759461559
BO,42,-1,6,347,10,4,3,0.5924230849038642,0.8640647072677152,0.0209283205009598,3.2239127837385464,0.0021437329196255,continuous,auto,aic,t,t,2345.860417889926,2298.9969008365924
BO,42,-1,7,347,10,3,1,0.5726576182785688,0.4796232408785468,0.0184391888424157,2.012590386007542,0.0021437329196255,continuous,auto,aic,t,t,2345.2231270945695,2300.5164784312515
BO,42,-1,8,347,10,1,1,0.0420129842527222,0.3760827771383133,0.0927243436309786,1.0,0.0021437329196255,continuous,auto,aic,t,t,2336.652599243482,2298.575411319018
BO,42,-1,9,347,10,1,1,0.0262447272818528,0.3760827771383133,0.0927243436309786,1.0,0.0021437329196255,continuous,auto,aic,t,t,2336.652599243482,2298.575411319018
BO,42,-1,10,347,10,5,1,0.5849772171646088,1.150830636694408,0.0106274700665835,2.472918886543066,0.0021437329196255,continuous,auto,aic,t,t,2355.826536085399,2294.859488899747
BO,42,-1,11,347,10,1,1,0.0103558031946348,0.3760827771383133,0.0927243436309786,1.0,0.0021437329196255,continuous,auto,aic,t,t,2336.652599243482,2298.575411319018
BO,42,-1,12,347,10,7,4,0.5939980634272585,-2.9821350229176224,0.0343525266474499,11.219538225780214,0.0021437329196255,continuous,auto,aic,t,t,2357.019806398569,2301.368898902994
BO,42,-1,13,347,10,1,4,0.5930781761010085,1.624263720967584,0.0113576507167658,2.4222607349391705,0.0021437329196255,continuous,auto,aic,t,t,2355.7395078858885,2298.30333083408
BO,42,-1,15,347,10,1,3,0.5063332601138398,0.9625601475526326,0.0186141111801374,2.330086522992012,0.0021437329196255,continuous,auto,aic,t,t,2345.318273925255,2300.4495727828735
BO,42,-1,16,347,10,2,5,0.5864922646952766,0.7735463836470956,0.0120530473066394,2.38673314255377,0.0021437329196255,continuous,auto,aic,t,t,2352.2920046535637,2299.178833119087
BO,42,-1,17,347,10,4,1,0.3896921798625856,1.965425258102051,0.0147430381956509,3.416577970396035,0.0021437329196255,continuous,auto,aic,t,t,2353.0845725218564,2297.2018422043575
BO,42,-1,18,347,10,5,1,0.397317289662721,1.150830636694408,0.0146160810658531,3.640921838744401,0.0021437329196255,continuous,auto,aic,t,t,2355.826536085399,2294.859488899747
BO,42,-1,19,347,10,1,7,0.5847593577629832,0.5641281793054467,0.0167314810543502,3.225935149738131,0.0021437329196255,continuous,auto,aic,t,t,2350.4329720018036,2302.9223928482597
BO,42,-1,20,347,10,7,1,0.5898633958949114,0.4468213769820887,0.0110139920699654,3.67212416406318,0.0021437329196255,continuous,auto,aic,t,t,2357.1495557747685,2302.459759461559
