,Sharpe_mean,Sharpe_median,MDD_mean,MDD_median,AnnRet_mean,AnnRet_median,AnnVol_mean,AnnVol_median,n
GA+BO_knee,0.517,0.52,0.255,0.24,0.079,0.067,0.145,0.147,40
GA_knee,0.542,0.604,0.256,0.242,0.078,0.079,0.142,0.144,42
