retrain_interval,stage_clean,mean_hv,std_hv
10,GA,0.04320294362575854,0.1158782164642806
10,GA+BO,0.04324640880061263,0.11588152234572269
20,GA,0.025542069276102405,0.04391665794826595
20,GA+BO,0.02555571633977687,0.04393111544131039
42,GA,0.010870573999192022,0.03017004334053317
42,GA+BO,0.010874567527633074,0.030183182093051993
