fold_id,retrain_interval,front_type,p,q,threshold,sharpe,mdd
347,10,RS,6,2,0.5633176084352398,0.5134652106761687,0.010855301890452165
347,10,RS,4,1,0.49957594844812375,1.9654252581020513,0.011981113423004609
347,20,RS,6,1,0.5506453315275249,1.5356216109141687,0.010964085000244598
347,20,RS,7,1,0.59211261150535,0.8480974723217218,0.010901469193195509
347,42,RS,5,1,0.5973240388243459,1.8777928310622714,0.009286622538308479
347,42,RS,6,1,0.5935884715833272,2.460670892136885,0.009446060990701867
347,42,RS,6,2,0.5942897819525008,2.078295108305488,0.009327839416811323
343,10,RS,1,1,0.2654537707919826,6.440807312226986,0.01576811048850876
343,10,RS,1,1,0.57626696817424,6.4325927224122985,0.007268737808707037
343,10,RS,3,5,0.07527138586169993,8.553519376346564,0.020792508488934925
343,10,RS,5,4,0.012797421818005613,8.691295644494234,0.04439748507049072
343,10,RS,2,2,0.5909432248344098,5.5427712592669325,0.006506579096020585
343,10,RS,3,5,0.19785547951879118,7.628840532283814,0.0164182056802838
343,20,RS,1,1,0.5655079254754783,4.53417045701119,0.01199583569406533
343,20,RS,1,4,0.5718273323489531,4.351329581583633,0.010877330325178618
343,20,RS,1,5,0.08018245333672468,4.581675597508777,0.07628717811548676
343,42,RS,2,1,0.5953047832615523,4.376095951176121,0.011456039571132087
343,42,RS,1,3,0.5996589264422708,4.171657074999771,0.010389334604338232
343,42,RS,1,1,0.5862318061477876,4.380458214028255,0.01157348943148025
259,10,RS,2,1,0.16950165503760323,0.5429765827784747,0.013420124605070093
259,10,RS,2,1,0.5795954125542239,0.05844214292241868,0.005015032798754677
259,10,RS,2,1,0.07985545907541457,0.7466477327622634,0.016216218547801232
259,10,RS,6,6,0.5849061026342195,1.091096219539541,0.020383532318718894
259,20,RS,2,1,0.1919165903321781,0.460786544197919,0.011678535690332639
259,20,RS,1,2,0.5587019749392832,-1.4921262425929103,0.004667728038049932
259,20,RS,2,1,0.5216316431979565,0.20005810547026748,0.004918000406422613
259,20,RS,2,1,0.12515946259300684,0.584726132164424,0.014089805398282047
259,42,RS,2,1,0.532566050806434,2.007979260066278,0.0009754647878039299
80,10,RS,5,3,0.5557278588970977,3.8324489056763036,0.004788199884548387
80,10,RS,5,5,0.5827189951057656,4.011765029434502,0.004990892200080429
80,10,RS,1,7,0.5819805643980966,4.301397329531081,0.005403477942011384
80,10,RS,3,7,0.5925144457747148,4.034861422901321,0.005242331097782159
80,10,RS,5,7,0.2104442091719279,4.438136120249112,0.014475339364677067
80,20,RS,4,1,0.5373084459426005,3.494816864213935,0.0032576714191600536
80,20,RS,4,2,0.4961082930199699,3.498481687550772,0.0035183674055616434
80,42,RS,6,4,0.5917575484152079,2.6164477481473707,0.001496762706717166
80,42,RS,3,1,0.3593583666931634,3.264032302528455,0.0038501648315889866
80,42,RS,4,1,0.22193059438796522,3.3481009788596134,0.0059268722725664864
80,42,RS,3,2,0.5948343306026164,3.2267892465656,0.0024544839625954052
35,10,RS,4,3,0.23141410241916152,3.2701802984777206,0.022779072327287684
35,10,RS,5,3,0.5705010446387826,1.7055082803070898,0.01276777150582304
35,10,RS,1,4,0.4505717117544475,1.3951000205009103,0.00591386415572183
35,10,RS,4,3,0.20727194376326144,3.3182045296913385,0.023757777400504537
35,10,RS,5,2,0.548857795131045,2.993723090772684,0.013031448981145858
35,10,RS,4,3,0.2500449452405876,3.216400723477464,0.02215296702310706
35,20,RS,3,5,0.4549134305094883,3.7629260458340323,0.005815037998599111
35,42,RS,5,3,0.5750391107290996,-0.4888980143108692,0.0008292117087269088
