retrain_interval,test_sharpe_median,test_sharpe_mean,test_mdd_median,test_mdd_mean,test_ann_return_median,test_ann_return_mean,n
10,1.3935121589315866,1.4649426604638907,0.1238760863846741,0.19450304981920485,0.1760364071723502,0.32385719621809994,11
20,1.482687330295451,1.5111850818017907,0.0748762245444272,0.09623337161944567,0.1104315427976673,0.1306830798261558,11
42,1.2856771698864593,1.3333227678483033,0.0919140714947791,0.09343751298998265,0.1022296256859383,0.09807558671342825,11
