retrain_interval,source,test_sharpe_median,test_mdd_median,test_sharpe_mean,test_mdd_mean,n
10,GA+BO_knee,1.3935121589315866,0.12387608638467414,1.4649426604638907,0.19450304981920488,11
10,GA_knee,1.3935121589315866,0.11360466533072248,1.4429697749205541,0.16683980877695548,11
20,GA+BO_knee,1.482687330295451,0.07487622454442727,1.5111850818017907,0.09623337161944572,11
20,GA_knee,1.4826873302954509,0.07487622454442727,1.511407208972627,0.09626171079383931,11
42,GA+BO_knee,1.2856771698864593,0.09191407149477916,1.3333227678483033,0.0934375129899827,11
42,GA_knee,1.2856771698864593,0.09191407149477916,1.3333227678483033,0.0934375129899827,11
