fold_id,retrain_interval,source,p,q,threshold,val_sharpe_front,val_mdd_front,test_sharpe,test_mdd,test_ann_return,test_ann_vol,test_turnover,test_n_points
35,10,GA+BO_knee,4,5,0.0100646512835479,3.922599298130168,0.0305890076075688,1.4724514674983116,0.48024679456274993,0.71599883312789,0.48626311218553697,954.7328201847617,1519
35,10,GA_knee,4,5,0.0100646512835479,3.922599298130168,0.0305890076075688,1.4724514674983116,0.48024679456274993,0.71599883312789,0.48626311218553697,954.7328201847617,1519
80,10,GA+BO_knee,5,6,0.5999509603490073,4.215417347724584,0.0048959897633378,1.3727637250670304,0.11360466533072248,0.19493464621057252,0.14200160060395983,472.29736239709763,1519
80,10,GA_knee,5,6,0.5999509603490073,4.215417347724584,0.0048959897633378,1.3727637250670304,0.11360466533072248,0.19493464621057252,0.14200160060395983,472.29736239709763,1519
113,10,GA+BO_knee,7,7,0.5999949402061271,1.166853949038592,0.0384612888795247,1.2638195600671829,0.12387608638467414,0.1944073060783256,0.15382520750667225,515.776857752257,1519
113,10,GA_knee,7,7,0.5999949402061271,1.166853949038592,0.0384612888795247,1.2638195600671829,0.12387608638467414,0.1944073060783256,0.15382520750667225,515.776857752257,1519
206,10,GA+BO_knee,4,4,0.0130839442494266,4.817348505107041,0.029447775232699,1.7912420228182937,0.43872538229031405,0.8573223645935055,0.47861894354433293,645.7019643422249,1519
206,10,GA_knee,4,4,0.0130839442494266,4.817348505107041,0.029447775232699,1.7912420228182937,0.43872538229031405,0.8573223645935055,0.47861894354433293,645.7019643422249,1519
226,10,GA+BO_knee,2,2,0.5999999997141324,3.8419644176417944,0.00300579031217,1.3061731374709964,0.07876696515441739,0.0981171537740177,0.07511803064943708,176.61683261047887,1519
226,10,GA_knee,2,2,0.5999999997141324,3.8419644176417944,0.00300579031217,1.3061731374709964,0.07876696515441739,0.0981171537740177,0.07511803064943708,176.61683261047887,1519
259,10,GA+BO_knee,6,6,0.5960760453680224,1.1022947483890164,0.0200038131294019,1.1244218086320044,0.15072650759583317,0.16995246381677412,0.1511465381692854,501.2196836496788,1519
259,10,GA_knee,6,6,0.5960760453680224,1.1022947483890164,0.0200038131294019,1.1244218086320044,0.15072650759583317,0.16995246381677412,0.1511465381692854,501.2196836496788,1519
343,10,GA+BO_knee,1,1,0.5999898047312269,6.4325927224122985,0.0069815116108848,1.7645645943671504,0.0631044662846403,0.11453471683401183,0.06490820296385295,44.595846180954474,1519
343,10,GA_knee,1,1,0.5999898047312269,6.4325927224122985,0.0069815116108848,1.7645645943671504,0.0631044662846403,0.11453471683401183,0.06490820296385295,44.595846180954474,1519
