fold_id,ticker,retrain_interval,stage,iter,window,units,learning_rate,epochs,threshold,sharpe,mdd,raw_sharpe,raw_mdd,turnover,penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,NVDA,10,RS,29,24,81,0.009410507,30,0.7949524888591591,7.148453125551213,0.0007,7.148453125551213,0.0007,2,0.006777645,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,NVDA,10,RS,30,28,88,0.004193555,12,0.7712258293025255,9.145336889673207,0.0007,9.145336889673207,0.0007,4,0.006777645,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,NVDA,10,RS,31,33,49,0.003494435,38,0.8092094833977587,7.169047666195454,0.0007,7.169047666195454,0.0007,2,0.006777645,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,NVDA,10,RS,32,22,69,0.008605859,33,0.8951604747972721,4.284149987,0.0007,4.284149987,0.0007,2,0.006777645,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,NVDA,10,RS,33,10,63,0.00323053,54,0.5587752920790333,11.861847621407831,0.0007,11.861847621407831,0.0007,2,0.006777645,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,NVDA,10,RS,34,25,64,0.002707537,47,0.858314681,6.831426828402735,0.0007,6.831426828402735,0.0007,2,0.006777645,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,NVDA,10,RS,35,26,90,0.004690654,73,0.5362109994029532,11.898256127298382,0.0007,11.898256127298382,0.0007,2,0.006777645,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,NVDA,10,RS,36,23,80,0.00626976,16,0.6964586209381912,11.884010995716128,0.0007,11.884010995716128,0.0007,2,0.006777645,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,NVDA,10,RS,37,30,78,0.008805608,13,0.5777395411310817,11.926762905637759,0,11.926762905637759,0,1,0.006777645,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,NVDA,10,RS,38,11,36,0.001910567,33,0.6933343174112157,8.346852600123775,0.0007,8.346852600123775,0.0007,5,0.006777645,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,NVDA,10,RS,39,25,90,0.007875567,79,0.8708198102694563,6.191152506299118,0.0007,6.191152506299118,0.0007,4,0.006777645,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,NVDA,10,RS,40,23,89,0.007640969,23,0.5701026019677611,11.884010995716128,0.0007,11.884010995716128,0.0007,2,0.006777645,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,NVDA,10,RS,41,31,90,0.001672883,47,0.5033724219053913,11.898256127298382,0.0007,11.898256127298382,0.0007,2,0.006777645,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,NVDA,10,RS,42,23,70,0.002250796,39,0.6991730039680696,9.496820436252198,0.0007,9.496820436252198,0.0007,2,0.006777645,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,NVDA,10,RS,43,36,34,0.007862071,60,0.5426870254576466,11.926762905637759,0,11.926762905637759,0,1,0.006777645,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,NVDA,10,RS,44,32,73,0.002496232,67,0.575592064,14.568726213454386,0.0007,14.568726213454386,0.0007,2,0.006777645,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,NVDA,10,RS,45,39,51,0.000486206,25,0.8310146384529346,6.884255357025124,0.0007,6.884255357025124,0.0007,2,0.006777645,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,NVDA,10,RS,46,12,96,0.005950718,28,0.7781912752799449,7.187616797188372,0.0007,7.187616797188372,0.0007,2,0.006777645,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,NVDA,10,RS,47,18,85,0.009286624,17,0.9387108792756768,4.505307531,0.0007,4.505307531,0.0007,2,0.006777645,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,NVDA,10,RS,48,39,80,0.004218147,44,0.6645403420071248,11.861847621407831,0.0007,11.861847621407831,0.0007,2,0.006777645,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,NVDA,10,RS,49,22,45,0.003376861,68,0.5386140161089028,11.884010995716128,0.0007,11.884010995716128,0.0007,2,0.006777645,,,,,,,,,,,,,,,,,,,,,,,,,,,
